,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Is old
203,F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,old
3344,F,0.455,0.365,0.11,0.385,0.166,0.046,0.1345,old
2327,M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,young
3330,F,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225,young
1310,I,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,young
2281,M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,young
1390,M,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,young
3001,M,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,young
2653,I,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,young
546,M,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,young
1411,F,0.665,0.53,0.18,1.491,0.6345,0.342,0.435,young
299,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,young
2530,F,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,young
2639,I,0.46,0.345,0.11,0.3755,0.1525,0.058,0.125,young
368,F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,young
3305,F,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,old
236,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,young
1969,M,0.665,0.525,0.18,1.429,0.6715,0.29,0.4,old
348,I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,young
661,I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,old
310,M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,young
2304,F,0.58,0.455,0.12,0.94,0.399,0.257,0.265,young
3107,I,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315,young
3260,M,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,old
86,F,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,old
989,M,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,young
1750,M,0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,young
270,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,old
104,M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,young
1736,M,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,young
830,I,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,young
351,F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,young
1747,M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,young
4022,F,0.69,0.58,0.195,1.658,0.708,0.3615,0.4715,young
2014,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,young
3524,I,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,young
112,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,young
2979,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,young
1715,F,0.645,0.51,0.19,1.363,0.573,0.362,0.36,young
3548,I,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,young
3912,I,0.355,0.27,0.1,0.216,0.083,0.037,0.075,young
501,F,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,old
1262,I,0.45,0.33,0.105,0.448,0.208,0.089,0.12,young
3889,F,0.575,0.45,0.1,0.9315,0.431,0.222,0.235,old
2763,I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,young
2897,I,0.545,0.43,0.13,0.7595,0.358,0.153,0.2055,young
2469,F,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,young
1247,I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,young
1079,I,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,young
921,I,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,young
2792,M,0.625,0.5,0.14,1.096,0.5445,0.2165,0.295,young
1804,F,0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,young
1435,I,0.375,0.28,0.085,0.3155,0.187,0.046,0.067,young
3740,F,0.65,0.525,0.165,1.238,0.647,0.2485,0.3005,young
2956,M,0.65,0.52,0.195,1.676,0.693,0.44,0.47,old
1426,F,0.735,0.565,0.205,2.1275,0.949,0.46,0.565,old
2371,I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,young
1450,M,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,young
449,M,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,old
3479,I,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,young
419,F,0.63,0.5,0.155,1.005,0.367,0.199,0.36,old
3036,I,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,young
4067,I,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,young
3836,F,0.425,0.35,0.1,0.4425,0.175,0.0755,0.175,young
3352,F,0.51,0.38,0.13,0.584,0.224,0.1355,0.185,old
1017,M,0.63,0.485,0.155,1.278,0.637,0.275,0.31,young
3954,I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,young
2695,F,0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344,young
127,I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,young
1279,I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,young
2047,I,0.415,0.305,0.12,0.336,0.165,0.076,0.0805,young
929,I,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,young
776,M,0.53,0.41,0.165,0.732,0.189,0.17,0.31,young
2732,I,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,young
3545,I,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,young
103,M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,old
362,F,0.59,0.465,0.15,0.997,0.392,0.246,0.34,old
644,M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,young
1011,F,0.62,0.51,0.18,1.3315,0.594,0.276,0.388,young
2970,M,0.685,0.505,0.19,1.533,0.667,0.4055,0.41,young
1285,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,young
1927,M,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285,young
2748,I,0.49,0.365,0.125,0.5585,0.252,0.126,0.1615,young
595,M,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,old
3984,F,0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,young
1829,I,0.35,0.265,0.08,0.2,0.09,0.042,0.06,young
3065,M,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,young
1134,M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,young
3055,M,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,old
3304,F,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,old
3324,F,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,old
3206,M,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,young
828,I,0.4,0.31,0.1,0.306,0.13,0.06,0.094,young
1831,I,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,young
4151,I,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,young
1034,M,0.65,0.525,0.185,1.622,0.6645,0.3225,0.477,young
353,M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,old
3991,M,0.67,0.51,0.2,1.5945,0.6705,0.3845,0.4505,young
48,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,young
630,M,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,young
1509,M,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,young
3782,M,0.615,0.455,0.13,0.9685,0.49,0.182,0.2655,young
2243,F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,young
3562,I,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,young
2160,F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,old
249,I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,young
68,F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,old
577,I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,young
3895,M,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,old
216,M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,young
1051,F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,young
1117,I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,young
1566,I,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,young
336,M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,young
2987,M,0.535,0.405,0.175,1.2705,0.548,0.3265,0.337,old
1963,F,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,young
1940,F,0.625,0.445,0.16,1.09,0.46,0.2965,0.304,young
1503,M,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,young
799,M,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,young
2376,M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,young
3626,F,0.67,0.525,0.195,1.42,0.573,0.368,0.3905,young
1578,I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,young
486,F,0.585,0.465,0.14,0.908,0.381,0.1615,0.315,old
4081,I,0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,young
949,F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,young
117,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,young
2740,I,0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,young
2102,M,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,old
2006,I,0.395,0.29,0.095,0.3,0.158,0.068,0.078,young
2636,I,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,young
3389,M,0.74,0.535,0.185,1.65,0.734,0.4505,0.335,old
1629,I,0.57,0.435,0.17,0.848,0.4,0.166,0.25,young
2537,F,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,old
3754,I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,young
74,M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,young
2630,I,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,young
2417,M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,old
2297,F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,old
1351,F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,young
2436,F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,old
1362,F,0.605,0.475,0.175,1.076,0.463,0.2195,0.335,young
1050,M,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,young
1865,I,0.52,0.395,0.125,0.5805,0.2445,0.146,0.165,young
3349,I,0.49,0.385,0.115,0.683,0.3265,0.1615,0.165,old
2126,M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,young
1707,M,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,young
3550,I,0.5,0.365,0.125,0.528,0.229,0.103,0.1645,young
3254,I,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,young
638,M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,young
2454,I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,young
1769,I,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,young
1945,F,0.635,0.52,0.165,1.3405,0.5065,0.296,0.412,young
898,I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,young
2257,M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,young
3152,F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,old
3608,M,0.515,0.39,0.14,0.678,0.341,0.1325,0.119,young
2001,I,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,young
3775,I,0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,young
2326,F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,young
4,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,young
2911,M,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,young
1961,F,0.65,0.51,0.185,1.375,0.531,0.384,0.3985,young
3985,M,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,young
645,M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,young
723,M,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,old
3123,M,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,young
2308,F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,old
1196,F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,young
2463,M,0.44,0.325,0.08,0.413,0.144,0.1015,0.13,young
373,F,0.68,0.58,0.2,1.787,0.585,0.453,0.6,old
1515,F,0.655,0.54,0.215,1.5555,0.695,0.296,0.444,young
1215,I,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,young
2698,M,0.66,0.515,0.165,1.4465,0.694,0.298,0.3755,young
1516,M,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,young
839,F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,young
3875,F,0.525,0.41,0.15,0.708,0.274,0.151,0.25,old
200,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,young
1824,M,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,young
318,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,young
1459,I,0.48,0.36,0.125,0.542,0.2795,0.1025,0.147,young
304,M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,young
3462,F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,young
2645,I,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,young
3041,F,0.57,0.47,0.14,0.871,0.385,0.211,0.2315,young
1361,I,0.605,0.435,0.13,0.9025,0.432,0.174,0.26,young
4085,F,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,young
2035,F,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,old
728,F,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,old
4019,M,0.66,0.485,0.155,1.2275,0.61,0.274,0.3,young
3768,M,0.555,0.46,0.16,0.86,0.3345,0.1935,0.275,young
3076,F,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,young
1542,I,0.36,0.275,0.075,0.2205,0.0985,0.044,0.066,young
3151,F,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396,young
3042,M,0.575,0.47,0.15,0.9785,0.4505,0.196,0.276,young
2451,F,0.42,0.33,0.125,0.463,0.186,0.11,0.145,young
621,M,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,young
3248,F,0.61,0.495,0.19,1.213,0.464,0.306,0.365,old
759,M,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,old
4117,M,0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785,young
1476,F,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,young
3764,I,0.53,0.41,0.15,0.612,0.2435,0.1525,0.1895,young
1415,M,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,young
196,M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,old
3850,M,0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,young
136,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,young
3766,I,0.535,0.45,0.135,0.728,0.2845,0.1845,0.265,young
81,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,young
3414,M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,young
1751,F,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,old
589,M,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,old
1138,F,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,young
1778,I,0.485,0.345,0.16,0.869,0.3085,0.185,0.319,young
1491,F,0.605,0.485,0.16,1.201,0.417,0.2875,0.38,young
3437,I,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,young
3909,I,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,young
108,F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,young
3610,F,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,young
123,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,old
2430,M,0.34,0.255,0.095,0.213,0.081,0.034,0.07,young
2187,F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,young
2663,F,0.57,0.45,0.18,0.908,0.4015,0.217,0.255,young
2992,M,0.595,0.485,0.15,1.0835,0.5305,0.231,0.276,young
1295,I,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,young
1672,M,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,young
2238,M,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,old
3098,M,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,young
2972,M,0.715,0.55,0.175,1.825,0.938,0.3805,0.44,young
2362,M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,old
3327,I,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28,old
3043,I,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,young
2638,I,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113,young
116,F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,young
3318,M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,young
2815,I,0.275,0.2,0.055,0.0925,0.038,0.021,0.026,young
3102,M,0.595,0.455,0.145,0.942,0.43,0.182,0.277,young
4113,F,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,young
3546,I,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125,young
610,M,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,old
3661,F,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,young
1756,F,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,young
2787,M,0.61,0.48,0.185,1.3065,0.6895,0.2915,0.29,young
2218,F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,old
221,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,young
3517,F,0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461,young
3424,F,0.63,0.475,0.15,1.172,0.536,0.254,0.316,young
2719,I,0.355,0.255,0.08,0.187,0.078,0.0505,0.058,young
1872,I,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,young
3282,M,0.55,0.45,0.17,0.81,0.317,0.157,0.22,young
1291,I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,young
1774,I,0.465,0.325,0.14,0.7615,0.362,0.1535,0.209,young
1483,M,0.585,0.455,0.15,0.906,0.4095,0.23,0.2335,young
3113,I,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,young
2581,M,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,young
1102,I,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,young
1253,I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,young
1309,F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,young
1014,F,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,young
1082,I,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,young
972,M,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,young
3028,I,0.5,0.38,0.135,0.5285,0.226,0.123,0.209,young
3298,M,0.645,0.5,0.19,1.229,0.524,0.278,0.395,old
518,M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,young
818,I,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,young
878,F,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,young
2098,M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,young
474,F,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,young
3926,F,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,young
129,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,old
1746,F,0.69,0.55,0.2,1.569,0.687,0.3675,0.46,old
132,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,young
3511,M,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,young
2826,I,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405,young
2655,F,0.545,0.43,0.14,0.832,0.4355,0.17,0.201,young
3931,F,0.67,0.535,0.185,1.597,0.6275,0.35,0.47,old
1087,I,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,young
3790,F,0.645,0.51,0.155,1.129,0.5015,0.24,0.342,young
227,F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,young
2287,F,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,young
641,M,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,young
1206,M,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,young
139,F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,young
1533,I,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,young
3834,M,0.535,0.41,0.15,0.8105,0.345,0.187,0.24,young
2825,I,0.46,0.365,0.115,0.511,0.2365,0.118,0.123,young
3394,M,0.575,0.435,0.13,1.0105,0.368,0.222,0.32,young
2896,I,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,young
1723,F,0.655,0.51,0.15,1.043,0.4795,0.223,0.305,young
237,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,young
3989,M,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,young
309,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,old
1693,F,0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705,young
3180,I,0.27,0.195,0.07,0.102,0.045,0.0135,0.034,young
1518,F,0.665,0.515,0.18,1.389,0.5945,0.324,0.395,young
946,M,0.47,0.365,0.12,0.612,0.327,0.15,0.14,young
1791,F,0.55,0.38,0.165,1.205,0.543,0.294,0.3345,young
2980,M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,young
176,I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,young
3262,F,0.645,0.52,0.19,1.3105,0.58,0.288,0.37,old
562,I,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,old
3732,F,0.55,0.415,0.18,1.1655,0.502,0.301,0.311,young
3156,M,0.505,0.395,0.125,0.635,0.29,0.1555,0.175,young
3630,I,0.27,0.205,0.05,0.084,0.03,0.0185,0.029,young
1991,I,0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,young
3117,M,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,young
1863,I,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,young
2816,I,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,young
884,M,0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,old
1621,I,0.56,0.44,0.13,0.7235,0.349,0.149,0.2,young
2198,I,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,young
2211,M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,old
2609,F,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595,young
122,I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,young
3733,F,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,young
3175,M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,young
1328,M,0.565,0.39,0.125,0.744,0.352,0.13,0.1685,young
3621,F,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,young
952,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,young
504,F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,old
3788,M,0.63,0.49,0.16,1.09,0.407,0.224,0.354,old
2953,F,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,old
2743,I,0.46,0.345,0.105,0.415,0.187,0.087,0.11,young
4002,I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,young
1397,M,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,young
1612,M,0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,young
3453,F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,young
1302,I,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,young
1496,F,0.62,0.435,0.155,1.012,0.477,0.236,0.275,young
2661,I,0.555,0.425,0.13,0.648,0.2835,0.133,0.2105,young
1964,M,0.655,0.52,0.17,1.1445,0.53,0.223,0.348,young
3134,F,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,young
850,M,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,young
2465,F,0.52,0.405,0.14,0.6915,0.276,0.137,0.215,young
2858,M,0.665,0.515,0.19,1.6385,0.831,0.3575,0.371,young
2051,M,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,young
2506,I,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,young
2840,F,0.59,0.455,0.15,0.976,0.465,0.2055,0.2765,young
56,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,young
3021,I,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,young
2908,M,0.58,0.46,0.15,1.049,0.5205,0.1935,0.305,young
2693,M,0.65,0.515,0.125,1.1805,0.5235,0.283,0.3275,young
1574,I,0.48,0.37,0.12,0.536,0.251,0.114,0.15,young
3877,M,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,old
2282,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,young
779,M,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,old
4154,I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,young
2683,M,0.62,0.48,0.15,1.1015,0.4965,0.243,0.305,young
1852,I,0.485,0.37,0.115,0.457,0.1885,0.0965,0.15,young
1936,M,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,old
171,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,old
174,F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,young
3681,F,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,young
994,M,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,young
792,F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,young
243,I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,young
447,M,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,old
497,F,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,old
1045,M,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,young
2573,I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,young
202,M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,old
1126,M,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,young
1638,F,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,young
1182,F,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,young
1853,I,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,young
2531,F,0.6,0.485,0.165,1.1405,0.587,0.2175,0.288,young
0,0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,young
4148,M,0.695,0.55,0.195,1.6645,0.727,0.36,0.445,young
381,M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,old
2750,I,0.505,0.38,0.135,0.5385,0.2645,0.095,0.165,young
2422,I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,old
4157,M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,young
3220,M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,old
2114,I,0.385,0.29,0.09,0.232,0.0855,0.0495,0.08,young
3973,M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,young
2008,I,0.415,0.325,0.11,0.316,0.1385,0.0795,0.0925,young
393,F,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,young
2147,M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,young
1457,I,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,young
3277,M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,old
1661,M,0.6,0.47,0.165,1.059,0.504,0.241,0.275,young
28,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,old
110,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,young
3169,M,0.605,0.47,0.115,1.114,0.3925,0.291,0.31,old
